Opent,Open,High,Low,Close,Volume,Close time,Volume pair,TradeNr,useless,useless2,nothing
1682820720000,29129.75000000,29132.40000000,29118.84000000,29118.85000000,33.52485000,1682820899999,976513.80684850,870,14.23566000,414659.82633910,0
1682820900000,29118.85000000,29132.84000000,29112.26000000,29115.33000000,56.24591000,1682821079999,1638026.74643260,1290,27.01390000,786723.34379060,0
1682821080000,29115.33000000,29115.34000000,29111.32000000,29114.69000000,32.37004000,1682821259999,942427.29345780,705,12.00393000,349474.82563400,0
1682821260000,29114.68000000,29131.74000000,29114.00000000,29131.74000000,13.93457000,1682821439999,405790.62010970,791,8.12029000,236464.70900000,0
1682821440000,29131.73000000,29131.77000000,29127.60000000,29129.53000000,19.92506000,1682821619999,580421.90533930,589,12.87569000,375071.30158780,0
1682821620000,29129.54000000,29130.37000000,29118.14000000,29120.04000000,74.63379000,1682821799999,2173764.64941250,1005,21.96755000,639808.91506630,0
1682821800000,29120.04000000,29150.01000000,29118.71000000,29150.01000000,111.21804000,1682821979999,3239622.21097510,1294,98.25839000,2861961.19597930,0
1682821980000,29150.01000000,29150.01000000,29136.00000000,29136.00000000,21.47187000,1682822159999,625770.25397400,664,4.45772000,129915.49212510,0
1682822160000,29136.01000000,29136.01000000,29131.02000000,29131.02000000,10.71204000,1682822339999,312076.14252950,560,2.95807000,86176.17910300,0
1682822340000,29131.02000000,29141.85000000,29131.02000000,29141.85000000,26.54678000,1682822519999,773399.79839270,786,20.96554000,610806.11176420,0
1682822520000,29141.85000000,29143.74000000,29141.84000000,29143.63000000,11.49631000,1682822699999,335038.86174650,504,6.81542000,198622.18666400,0
1682822700000,29143.63000000,29143.64000000,29135.00000000,29135.00000000,8.60776000,1682822879999,250799.70952180,583,4.26194000,124172.85589790,0
1682822880000,29135.00000000,29154.92000000,29135.00000000,29143.79000000,18.26173000,1682823059999,532279.35177220,797,11.95543000,348461.17150670,0
1682823060000,29143.79000000,29156.63000000,29143.79000000,29154.30000000,17.01176000,1682823239999,495923.60263240,679,9.68671000,282369.89561310,0
1682823240000,29154.31000000,29162.28000000,29153.18000000,29162.27000000,11.76060000,1682823419999,342900.79092910,567,9.92547000,289398.57459250,0
1682823420000,29162.28000000,29180.00000000,29162.27000000,29176.96000000,49.25913000,1682823599999,1437166.03220540,1032,36.90987000,1076839.38852560,0
1682823600000,29176.95000000,29176.96000000,29173.13000000,29173.13000000,13.86310000,1682823779999,404460.27141220,546,5.30854000,154876.85744400,0
1682823780000,29173.13000000,29178.92000000,29173.13000000,29178.92000000,27.36432000,1682823959999,798396.85427830,812,25.96056000,757440.12978380,0
1682823960000,29178.91000000,29190.45000000,29178.91000000,29180.60000000,46.36093000,1682824139999,1353063.43937090,876,32.38724000,945224.25699950,0
1682824140000,29180.60000000,29181.54000000,29177.69000000,29177.70000000,9.14855000,1682824319999,266948.89961200,601,4.40949000,128666.79262450,0
1682824320000,29177.69000000,29177.70000000,29165.68000000,29165.69000000,21.76567000,1682824499999,634946.06341650,707,6.40845000,186953.54741440,0
1682824500000,29165.69000000,29165.69000000,29156.61000000,29156.69000000,13.72814000,1682824679999,400298.71933710,734,2.14198000,62460.07795570,0
1682824680000,29156.68000000,29156.69000000,29143.81000000,29153.91000000,31.63670000,1682824859999,922267.82054150,1070,12.72679000,370997.07634170,0
1682824860000,29153.91000000,29161.31000000,29153.90000000,29157.98000000,15.89099000,1682825039999,463341.79038540,754,10.04933000,293006.39767890,0
1682825040000,29157.98000000,29157.98000000,29149.27000000,29149.27000000,8.40913000,1682825219999,245170.68505600,489,1.92413000,56101.58710510,0
1682825220000,29149.28000000,29160.89000000,29149.27000000,29160.88000000,17.34288000,1682825399999,505646.58268200,587,13.06360000,380867.32819850,0
1682825400000,29160.89000000,29169.99000000,29154.65000000,29169.98000000,25.70749000,1682825579999,749597.25443290,864,17.75884000,517811.11250630,0
1682825580000,29169.99000000,29169.99000000,29164.59000000,29164.60000000,12.02788000,1682825759999,350837.21000000,460,2.51101000,73242.97731780,0
1682825760000,29164.59000000,29177.69000000,29164.59000000,29177.69000000,16.28016000,1682825939999,474946.06248210,632,8.81466000,257142.70863200,0
1682825940000,29177.69000000,29177.69000000,29172.01000000,29173.84000000,9.10384000,1682826119999,265611.11924380,578,2.46213000,71835.74639210,0
1682826120000,29173.85000000,29173.85000000,29169.12000000,29169.12000000,6.64777000,1682826299999,193926.69894050,406,1.84464000,53813.30567550,0
1682826300000,29169.13000000,29180.00000000,29167.45000000,29179.58000000,12.96313000,1682826479999,378187.12682540,668,8.70975000,254109.67454730,0
1682826480000,29179.58000000,29190.27000000,29179.58000000,29185.04000000,73.83498000,1682826659999,2155119.83521640,842,52.45520000,1531068.28096610,0
1682826660000,29185.03000000,29185.04000000,29168.93000000,29168.94000000,15.84711000,1682826839999,462371.68276200,625,2.43242000,70954.81432490,0
1682826840000,29168.94000000,29168.94000000,29151.09000000,29160.73000000,31.93377000,1682827019999,931211.71710680,967,6.23402000,181778.38704790,0
1682827020000,29160.73000000,29178.88000000,29160.72000000,29178.87000000,9.71947000,1682827199999,283498.10987630,655,7.87539000,229706.17666100,0
1682827200000,29178.88000000,29178.88000000,29171.22000000,29177.48000000,28.62620000,1682827379999,835201.37809120,1071,12.13865000,354148.96859880,0
1682827380000,29177.49000000,29184.34000000,29176.02000000,29183.65000000,38.34170000,1682827559999,1118830.93761530,817,18.37270000,536143.98206270,0
1682827560000,29183.64000000,29186.68000000,29183.64000000,29186.68000000,13.50464000,1682827739999,394136.62756160,656,11.64578000,339885.39681420,0
1682827740000,29186.67000000,29190.86000000,29178.55000000,29180.27000000,23.45154000,1682827919999,684480.35990340,774,10.33489000,301647.74819730,0
1682827920000,29180.26000000,29180.28000000,29175.94000000,29180.28000000,18.64936000,1682828099999,544161.34261130,528,11.44799000,334035.48438260,0
