Opent,Open,High,Low,Close,Volume,Close time,Volume pair,TradeNr,useless,useless2,nothing
1683158400000,29026.16000000,29062.27000000,29020.00000000,29060.09000000,167.33470000,1683158579999,4859000.29309600,3270,113.20887000,3287392.35420200,0
1683158580000,29060.10000000,29063.19000000,29046.02000000,29047.76000000,79.49311000,1683158759999,2309656.77295060,1949,42.87514000,1245679.02983660,0
1683158760000,29047.75000000,29047.76000000,29003.37000000,29020.82000000,153.37783000,1683158939999,4450670.96897990,2626,86.79922000,2518583.84532500,0
1683158940000,29020.82000000,29039.81000000,28990.90000000,29039.81000000,96.86582000,1683159119999,2810214.10354820,2386,49.41884000,1433735.93537010,0
1683159120000,29039.80000000,29085.69000000,29039.80000000,29080.05000000,111.48081000,1683159299999,3241152.19063850,2524,62.46409000,1815935.95546620,0
1683159300000,29080.05000000,29082.62000000,29053.17000000,29071.38000000,61.71284000,1683159479999,1793729.36864590,1593,26.83318000,779916.38986270,0
1683159480000,29071.38000000,29104.27000000,29039.74000000,29039.74000000,134.78043000,1683159659999,3918742.68698290,2837,65.73313000,1911035.60455350,0
1683159660000,29039.75000000,29071.51000000,29039.74000000,29070.87000000,36.40089000,1683159839999,1057963.29911230,1454,23.56960000,684977.12383820,0
1683159840000,29070.87000000,29074.77000000,29052.42000000,29068.16000000,59.29458000,1683160019999,1723205.78191920,1576,40.74513000,1184143.78798930,0
1683160020000,29068.16000000,29068.17000000,29036.45000000,29036.96000000,50.96540000,1683160199999,1480549.86751580,1364,21.93466000,637151.83791240,0
1683160200000,29036.97000000,29047.70000000,29015.26000000,29015.26000000,101.18065000,1683160379999,2937507.45584430,1977,41.35552000,1200722.30571750,0
1683160380000,29015.27000000,29015.64000000,28973.51000000,28975.52000000,118.75711000,1683160559999,3443040.02125070,2601,39.53725000,1146285.01911760,0
1683160560000,28975.51000000,29015.63000000,28974.51000000,28990.00000000,109.07832000,1683160739999,3162358.18774970,2193,64.72149000,1876302.49653330,0
1683160740000,28990.00000000,28990.01000000,28950.98000000,28984.52000000,87.12034000,1683160919999,2524030.96054230,2634,31.17656000,903179.51166430,0
1683160920000,28984.52000000,29003.43000000,28984.52000000,29000.70000000,53.27006000,1683161099999,1544686.16750910,1329,30.06481000,871723.62391780,0
1683161100000,29000.69000000,29053.33000000,29000.69000000,29053.32000000,85.69484000,1683161279999,2488053.30991370,2117,51.35998000,1491263.37048610,0
1683161280000,29053.32000000,29083.14000000,29050.34000000,29065.45000000,75.06494000,1683161459999,2181680.00970660,1831,48.61234000,1412793.35732120,0
1683161460000,29065.45000000,29081.95000000,29065.44000000,29065.74000000,60.46613000,1683161639999,1757973.28879070,1371,43.83338000,1274374.31056220,0
1683161640000,29065.74000000,29074.26000000,29040.23000000,29041.90000000,121.17724000,1683161819999,3520604.69345270,1688,39.84881000,1157647.70747200,0
1683161820000,29041.89000000,29063.61000000,29041.89000000,29043.94000000,41.40062000,1683161999999,1202827.00333710,990,29.15331000,847016.43449030,0
1683162000000,29043.93000000,29052.46000000,29041.94000000,29047.17000000,37.08586000,1683162179999,1077250.13485990,1307,22.66195000,658272.38740990,0
1683162180000,29047.17000000,29060.37000000,29043.80000000,29050.01000000,44.74011000,1683162359999,1299868.36004220,1151,15.53243000,451259.89298340,0
1683162360000,29050.01000000,29050.01000000,29013.11000000,29045.63000000,82.70548000,1683162539999,2400760.31217610,1436,30.89112000,896644.51638770,0
1683162540000,29045.63000000,29065.33000000,29039.85000000,29059.55000000,48.37783000,1683162719999,1405593.18496780,1414,20.23625000,587879.00703810,0
1683162720000,29059.54000000,29065.01000000,29059.54000000,29061.06000000,40.20654000,1683162899999,1168499.67558350,876,21.30638000,619216.37245810,0
1683162900000,29061.05000000,29077.00000000,29049.25000000,29049.25000000,59.14035000,1683163079999,1718647.42936070,1380,31.62994000,919171.36817270,0
1683163080000,29049.25000000,29049.26000000,29025.31000000,29034.95000000,40.16212000,1683163259999,1166220.67955220,1264,12.16824000,353281.24468200,0
1683163260000,29034.95000000,29054.27000000,29025.43000000,29025.43000000,47.83168000,1683163439999,1388909.00461630,1351,15.40512000,447316.06438620,0
1683163440000,29025.44000000,29025.44000000,28991.29000000,28994.74000000,81.97561000,1683163619999,2377608.02276330,1585,30.56467000,886397.20785900,0
1683163620000,28994.73000000,28994.74000000,28975.00000000,28979.41000000,60.80227000,1683163799999,1762234.58323870,1731,23.24550000,673688.09797210,0
1683163800000,28979.41000000,29018.54000000,28979.40000000,29015.28000000,55.10337000,1683163979999,1598306.09253940,1670,31.63869000,917616.90926630,0
1683163980000,29015.28000000,29036.14000000,29015.28000000,29032.56000000,52.71304000,1683164159999,1529926.69960650,1416,29.54271000,857425.35372940,0
1683164160000,29032.56000000,29045.23000000,29030.15000000,29041.67000000,67.41110000,1683164339999,1957376.46910590,1429,37.99645000,1103240.78704180,0
1683164340000,29041.68000000,29046.00000000,29028.07000000,29028.08000000,28.89538000,1683164519999,839101.51035120,889,9.60700000,278988.97360170,0
1683164520000,29028.07000000,29032.96000000,29012.63000000,29012.63000000,36.02110000,1683164699999,1045472.98351050,1012,11.72791000,340395.91557390,0
1683164700000,29012.63000000,29051.42000000,29012.49000000,29042.57000000,179.16915000,1683164879999,5201673.54238040,2209,135.42247000,3931487.49125130,0
1683164880000,29042.56000000,29061.68000000,29033.90000000,29033.91000000,88.63328000,1683165059999,2574961.45095900,1400,58.01485000,1685473.00923660,0
1683165060000,29033.91000000,29039.02000000,29003.90000000,29019.53000000,88.97941000,1683165239999,2582351.12747900,1534,26.15295000,758891.66998270,0
1683165240000,29019.53000000,29068.88000000,29018.30000000,29068.02000000,68.46533000,1683165419999,1988543.20512230,1569,54.03469000,1569272.80462150,0
1683165420000,29068.02000000,29078.75000000,29049.16000000,29070.67000000,116.71658000,1683165599999,3392461.33196360,1769,75.84408000,2204530.57713310,0
1683165600000,29070.67000000,29162.88000000,29070.66000000,29137.08000000,248.52015000,1683165779999,7237662.11962330,5160,166.59040000,4851004.54433510,0
1683165780000,29137.08000000,29195.94000000,29137.08000000,29155.85000000,266.76137000,1683165959999,7782813.07769200,4047,155.64323000,4540804.58142690,0
1683165960000,29155.84000000,29155.85000000,29103.83000000,29109.00000000,109.98972000,1683166139999,3203143.21091560,1918,40.68061000,1184592.14508310,0
1683166140000,29109.01000000,29114.57000000,29083.68000000,29083.69000000,82.58697000,1683166319999,2403660.32174570,1776,38.53777000,1121730.84923600,0
1683166320000,29083.69000000,29089.34000000,29045.79000000,29045.79000000,65.60344000,1683166499999,1906778.01138010,1909,20.85933000,606179.43481290,0
1683166500000,29045.80000000,29065.60000000,29038.49000000,29065.60000000,92.72885000,1683166679999,2693680.46632920,1906,48.80889000,1417809.52073590,0
1683166680000,29065.59000000,29085.26000000,29065.59000000,29081.90000000,39.47115000,1683166859999,1147772.65247600,1129,15.18624000,441572.58018640,0
1683166860000,29081.91000000,29081.91000000,29065.00000000,29065.01000000,36.22202000,1683167039999,1053012.86105360,969,13.66437000,397208.25718010,0
