Date,Open,High,Low,Close,Volume,timestamp
2023-03-04 00:36:00,1.0649,1.0649,1.0649,1.0649,1,1677890160000
2023-03-05 18:21:00,1.06146,1.06146,1.06146,1.06146,1,1678040460000
2023-03-05 18:45:00,1.06201,1.06201,1.06201,1.06201,1,1678041900000
2023-03-05 19:09:00,1.06163,1.06163,1.06163,1.06163,1,1678043340000
2023-03-05 19:36:00,1.06188,1.06188,1.06188,1.06188,1,1678044960000
2023-03-05 19:57:00,1.06242,1.06242,1.06236,1.06236,2,1678046220000
2023-03-05 20:00:00,1.06227,1.06236,1.06227,1.06236,2,1678046400000
2023-03-05 20:03:00,1.06228,1.06228,1.06223,1.06223,2,1678046580000
2023-03-05 20:06:00,1.06223,1.06224,1.06223,1.06224,2,1678046760000
2023-03-05 20:15:00,1.06156,1.06158,1.06156,1.06158,3,1678047300000
2023-03-05 20:18:00,1.06159,1.06159,1.06159,1.06159,1,1678047480000
2023-03-05 20:24:00,1.06126,1.06126,1.06126,1.06126,1,1678047840000
2023-03-05 20:33:00,1.06143,1.06143,1.06143,1.06143,1,1678048380000
2023-03-05 20:51:00,1.06123,1.06123,1.06123,1.06123,1,1678049460000
2023-03-05 21:00:00,1.06165,1.06165,1.06152,1.06152,2,1678050000000
2023-03-05 21:03:00,1.06162,1.06175,1.06162,1.06175,2,1678050180000
2023-03-05 21:06:00,1.0616,1.0616,1.06136,1.0615,3,1678050360000
2023-03-05 21:09:00,1.06152,1.06154,1.06152,1.06154,2,1678050540000
2023-03-05 21:15:00,1.06136,1.06136,1.06136,1.06136,1,1678050900000
2023-03-05 21:18:00,1.0615,1.0615,1.0615,1.0615,1,1678051080000
2023-03-05 21:24:00,1.06167,1.06219,1.06167,1.06219,4,1678051440000
2023-03-05 21:27:00,1.06203,1.06203,1.06203,1.06203,1,1678051620000
2023-03-05 21:30:00,1.06219,1.06239,1.06219,1.06239,2,1678051800000
2023-03-05 21:33:00,1.06237,1.06239,1.06213,1.0622,8,1678051980000
2023-03-05 21:36:00,1.06198,1.06199,1.06184,1.06187,6,1678052160000
2023-03-05 21:39:00,1.06193,1.06198,1.06189,1.06189,4,1678052340000
2023-03-05 21:42:00,1.06188,1.06229,1.06188,1.06229,2,1678052520000
2023-03-05 21:54:00,1.06241,1.06243,1.06241,1.06243,2,1678053240000
2023-03-05 21:57:00,1.06241,1.06243,1.06241,1.06241,3,1678053420000
2023-03-05 22:00:00,1.06241,1.06253,1.0623,1.06253,31,1678053600000
2023-03-05 22:03:00,1.06246,1.06276,1.06246,1.06276,26,1678053780000
2023-03-05 22:06:00,1.06275,1.06275,1.06253,1.06253,35,1678053960000
2023-03-05 22:09:00,1.06242,1.06251,1.06231,1.06244,23,1678054140000
2023-03-05 22:12:00,1.06248,1.06256,1.06229,1.06229,22,1678054320000
2023-03-05 22:15:00,1.06249,1.06249,1.06229,1.06231,6,1678054500000
2023-03-05 22:18:00,1.06245,1.06246,1.06217,1.06243,18,1678054680000
2023-03-05 22:21:00,1.06245,1.06247,1.06227,1.0624,22,1678054860000
2023-03-05 22:24:00,1.06241,1.06241,1.06227,1.06227,6,1678055040000
2023-03-05 22:27:00,1.0623,1.06243,1.0623,1.06233,22,1678055220000
2023-03-05 22:30:00,1.06237,1.06245,1.06232,1.06245,23,1678055400000
2023-03-05 22:33:00,1.06245,1.06246,1.06233,1.06246,72,1678055580000
2023-03-05 22:36:00,1.06244,1.0625,1.0623,1.06247,201,1678055760000
2023-03-05 22:39:00,1.06235,1.06259,1.06235,1.06257,525,1678055940000
2023-03-05 22:42:00,1.06247,1.06281,1.06242,1.06245,79,1678056120000
2023-03-05 22:45:00,1.06244,1.06265,1.0624,1.0624,27,1678056300000
2023-03-05 22:48:00,1.06252,1.06262,1.06237,1.06242,34,1678056480000
2023-03-05 22:51:00,1.06236,1.06243,1.06236,1.06242,18,1678056660000
2023-03-05 22:54:00,1.0624,1.06261,1.06236,1.06256,28,1678056840000
2023-03-05 22:57:00,1.0624,1.06271,1.06239,1.06269,55,1678057020000
2023-03-05 23:00:00,1.0627,1.06288,1.06245,1.0626,169,1678057200000
2023-03-05 23:03:00,1.06256,1.06265,1.06246,1.06265,70,1678057380000
2023-03-05 23:06:00,1.06265,1.06278,1.06232,1.06238,93,1678057560000
2023-03-05 23:09:00,1.06237,1.06257,1.06227,1.06241,174,1678057740000
2023-03-05 23:12:00,1.0624,1.06258,1.06239,1.0625,198,1678057920000
2023-03-05 23:15:00,1.0625,1.06259,1.06237,1.06241,178,1678058100000
2023-03-05 23:18:00,1.0624,1.06251,1.06236,1.06238,161,1678058280000
2023-03-05 23:21:00,1.06237,1.06256,1.06233,1.06256,198,1678058460000
2023-03-05 23:24:00,1.06256,1.06257,1.0624,1.06245,165,1678058640000
2023-03-05 23:27:00,1.06245,1.06254,1.06235,1.06237,178,1678058820000
2023-03-05 23:30:00,1.06236,1.06242,1.06231,1.06238,111,1678059000000
2023-03-05 23:33:00,1.06237,1.06257,1.06237,1.06253,131,1678059180000
2023-03-05 23:36:00,1.06252,1.06274,1.06251,1.06273,59,1678059360000
2023-03-05 23:39:00,1.06273,1.06276,1.0626,1.06267,52,1678059540000
2023-03-05 23:42:00,1.06267,1.06273,1.06263,1.06266,35,1678059720000
2023-03-05 23:45:00,1.06267,1.06273,1.06261,1.06268,43,1678059900000
2023-03-05 23:48:00,1.06269,1.06278,1.0626,1.06264,62,1678060080000
2023-03-05 23:51:00,1.06263,1.06268,1.06257,1.06268,67,1678060260000
2023-03-05 23:54:00,1.06269,1.06272,1.06263,1.06265,67,1678060440000
