Date,Open,High,Low,Close,Volume,timestamp
2023-04-25 00:00:00,1.10572,1.1058,1.1054,1.10561,295,1682380800000
2023-04-25 00:03:00,1.1056,1.1057,1.1053,1.1055,192,1682380980000
2023-04-25 00:06:00,1.1053,1.10568,1.1053,1.10559,139,1682381160000
2023-04-25 00:09:00,1.10561,1.10575,1.1054,1.10563,164,1682381340000
2023-04-25 00:12:00,1.10566,1.1057,1.1052,1.10543,189,1682381520000
2023-04-25 00:15:00,1.10543,1.10552,1.1052,1.10539,182,1682381700000
2023-04-25 00:18:00,1.10538,1.10562,1.1053,1.10561,164,1682381880000
2023-04-25 00:21:00,1.10562,1.10564,1.1053,1.1055,149,1682382060000
2023-04-25 00:24:00,1.10551,1.1057,1.1053,1.10564,141,1682382240000
2023-04-25 00:27:00,1.10561,1.10582,1.1054,1.1058,167,1682382420000
2023-04-25 00:30:00,1.10579,1.10583,1.1056,1.10574,159,1682382600000
2023-04-25 00:33:00,1.10579,1.10601,1.1056,1.106,151,1682382780000
2023-04-25 00:36:00,1.1058,1.1063,1.1057,1.10612,225,1682382960000
2023-04-25 00:39:00,1.1061,1.1065,1.1061,1.10636,325,1682383140000
2023-04-25 00:42:00,1.10636,1.1064,1.106,1.10623,235,1682383320000
2023-04-25 00:45:00,1.1062,1.1063,1.106,1.10629,259,1682383500000
2023-04-25 00:48:00,1.10627,1.1063,1.1058,1.10608,248,1682383680000
2023-04-25 00:51:00,1.10607,1.1063,1.1059,1.10627,350,1682383860000
2023-04-25 00:54:00,1.10623,1.10667,1.106,1.10612,441,1682384040000
2023-04-25 00:57:00,1.10609,1.10621,1.1057,1.106,305,1682384220000
2023-04-25 01:00:00,1.10589,1.10604,1.1056,1.10591,332,1682384400000
2023-04-25 01:03:00,1.1059,1.1061,1.1057,1.10592,210,1682384580000
2023-04-25 01:06:00,1.10593,1.1061,1.1057,1.10589,247,1682384760000
2023-04-25 01:09:00,1.1057,1.1061,1.1057,1.10585,296,1682384940000
2023-04-25 01:12:00,1.10588,1.10611,1.1057,1.10608,245,1682385120000
2023-04-25 01:15:00,1.1061,1.1063,1.1058,1.10619,224,1682385300000
